domain,tld,ml_probability,source,features,is_dangerous_tld,has_brand,high_entropy,short_domain,entropy,domain_length,contains_brand,gsb_status,gsb_detail,gsb_checked_at
834983.club,club,0.3606528,jpcert,,False,False,False,False,3.0957952550009344,11.0,0.0,safe,No unsafe content found,2026-01-11T20:04:25.866546
vpasso.top,top,0.25934905,certificates,dangerous_tld,True,False,False,False,2.721928094887362,10.0,0.0,unknown,Status element not found,2026-01-11T20:04:32.489522
5eyvdyee.lat,lat,0.029982029,phishtank,dangerous_tld,True,False,False,False,3.0220552088742,12.0,0.0,unknown,Status element not found,2026-01-11T20:04:44.788151
logguscorretora.online,online,0.0756343,phishtank,dangerous_tld,True,False,False,False,3.51602764126623,22.0,0.0,unknown,Status element not found,2026-01-11T20:04:57.282630
veasf.cn,cn,0.20835146,phishtank,dangerous_tld,True,False,False,False,3.0,8.0,0.0,unknown,Status element not found,2026-01-11T20:05:09.538275
alruba.ae,ae,0.02324482,jpcert,,False,False,False,False,2.6416041678685933,9.0,0.0,unknown,Status element not found,2026-01-11T20:05:21.791555
lampein.cn,cn,0.022517689,jpcert,dangerous_tld,True,False,False,False,3.1219280948873624,10.0,0.0,unknown,Status element not found,2026-01-11T20:05:34.061018
wikireal.in,in,0.0068658455,phishtank,,False,False,False,False,3.027169118440619,11.0,0.0,unknown,Status element not found,2026-01-11T20:05:46.541584
estafetaqo.top,top,0.008174109,phishtank,dangerous_tld,True,False,False,False,3.039148671903071,14.0,0.0,unknown,Status element not found,2026-01-11T20:05:58.865565
jp-rakuten.net,net,0.06052117,jpcert,brand,False,True,False,False,3.378783493486176,14.0,1.0,unknown,Status element not found,2026-01-11T20:06:11.203185
maper.info,info,0.009871435,phishtank,,False,False,False,False,3.321928094887362,10.0,0.0,unknown,Status element not found,2026-01-11T20:06:23.438543
exteriornexoaca.shop,shop,0.10931873,phishtank,,False,False,False,False,3.546439344671015,20.0,0.0,unknown,Status element not found,2026-01-11T20:06:35.699717
aeon.wanbiquan.cn,cn,0.4843476,jpcert,dangerous_tld,True,False,False,False,3.219528282299548,17.0,0.0,unknown,Status element not found,2026-01-11T20:06:48.090178
ouvih.cn,cn,0.21027407,jpcert,dangerous_tld,True,False,False,False,3.0,8.0,0.0,unknown,Status element not found,2026-01-11T20:06:59.469625
soilsta.co.za,za,0.16646221,jpcert,,False,False,False,False,3.085055102756477,13.0,0.0,unknown,Status element not found,2026-01-11T20:07:11.695739
expy.top,top,0.07660952,jpcert,dangerous_tld,True,False,False,False,2.75,8.0,0.0,safe,No unsafe content found,2026-01-11T20:07:24.084895
u3l.co,co,0.016602853,phishtank,short,False,False,False,True,2.584962500721156,6.0,0.0,safe,No unsafe content found,2026-01-11T20:07:31.206091
palby.info,info,0.128981,certificates,,False,False,False,False,3.321928094887362,10.0,0.0,safe,No unsafe content found,2026-01-11T20:07:37.849204
amanon.ml,ml,0.3567895,certificates,dangerous_tld,True,False,False,False,2.5032583347756456,9.0,0.0,safe,No unsafe content found,2026-01-11T20:07:44.950540
e9u.cc,cc,0.09039326,certificates,"dangerous_tld,,short",True,False,False,True,2.2516291673878226,6.0,0.0,safe,No unsafe content found,2026-01-11T20:07:52.076976
2kje0t.top,top,0.48961848,phishtank,dangerous_tld,True,False,False,False,3.121928094887362,10.0,0.0,unknown,Status element not found,2026-01-11T20:07:59.142318
short.bid,bid,0.034357484,phishtank,,False,False,False,False,3.169925001442312,9.0,0.0,safe,No unsafe content found,2026-01-11T20:08:10.444215
zzhaoqn.cn,cn,0.034892477,jpcert,dangerous_tld,True,False,False,False,2.9219280948873623,10.0,0.0,safe,No unsafe content found,2026-01-11T20:08:16.840401
7vah.top,top,0.15042616,phishtank,dangerous_tld,True,False,False,False,3.0,8.0,0.0,unknown,Status element not found,2026-01-11T20:08:23.250363
issiuk.com.cn,cn,0.05639025,jpcert,dangerous_tld,True,False,False,False,3.0850551027564768,13.0,0.0,unknown,Status element not found,2026-01-11T20:08:35.513069
1tftdctr2.lat,lat,0.2354559,phishtank,dangerous_tld,True,False,False,False,3.085055102756477,13.0,0.0,safe,No unsafe content found,2026-01-11T20:08:47.926237
kuranckoyemato.cfd,cfd,0.33522835,jpcert,dangerous_tld,True,False,False,False,3.725480556997868,18.0,0.0,safe,No unsafe content found,2026-01-11T20:08:55.030326
happypet.mx,mx,0.039201822,jpcert,,False,False,False,False,3.027169118440619,11.0,0.0,safe,No unsafe content found,2026-01-11T20:09:02.125507
myjcb.vip,vip,0.41415513,jpcert,,False,False,False,False,3.169925001442312,9.0,0.0,unknown,Status element not found,2026-01-11T20:09:08.473826
estudiojuri.online,online,0.096002676,jpcert,dangerous_tld,True,False,False,False,3.4613201402110083,18.0,0.0,safe,No unsafe content found,2026-01-11T20:09:19.775784
famoty.cn,cn,0.34323224,jpcert,dangerous_tld,True,False,False,False,3.169925001442312,9.0,0.0,unknown,Status element not found,2026-01-11T20:09:26.195061
amsbi.top,top,0.4553993,certificates,dangerous_tld,True,False,False,False,3.169925001442312,9.0,0.0,safe,No unsafe content found,2026-01-11T20:09:37.638020
oioaqf.cc,cc,0.19719307,jpcert,dangerous_tld,True,False,False,False,2.725480556997868,9.0,0.0,safe,No unsafe content found,2026-01-11T20:09:44.746850
portalsyncs.site,site,0.15975392,phishtank,dangerous_tld,True,False,False,False,3.577819531114783,16.0,0.0,unknown,Status element not found,2026-01-11T20:09:51.845927
rxqod6.sbs,sbs,0.33853573,phishtank,dangerous_tld,True,False,False,False,3.1219280948873624,10.0,0.0,safe,No unsafe content found,2026-01-11T20:10:03.260233
rgui48fio.lat,lat,0.29138973,phishtank,dangerous_tld,True,False,False,False,3.5465935642949384,13.0,0.0,safe,No unsafe content found,2026-01-11T20:10:09.659511
pnqmdib.top,top,0.26643682,jpcert,dangerous_tld,True,False,False,False,3.2776134368191165,11.0,0.0,safe,No unsafe content found,2026-01-11T20:10:16.066812
kr.pe,pe,0.11822971,phishtank,short,False,False,False,True,2.321928094887362,5.0,0.0,unknown,Status element not found,2026-01-11T20:10:23.173669
einvy.cn,cn,0.34932342,jpcert,dangerous_tld,True,False,False,False,2.75,8.0,0.0,unknown,Status element not found,2026-01-11T20:10:35.284310
sonatahouse.school,school,0.018527983,phishtank,,False,False,False,False,3.239097917988786,18.0,0.0,safe,No unsafe content found,2026-01-11T20:10:47.465067
gamesens.ir,ir,0.09166193,phishtank,,False,False,False,False,3.095795255000934,11.0,0.0,safe,No unsafe content found,2026-01-11T20:10:54.592190
hdhjf2sm.lat,lat,0.48041654,phishtank,dangerous_tld,True,False,False,False,3.418295834054489,12.0,0.0,safe,No unsafe content found,2026-01-11T20:11:01.720870
xn--90aemgtfodc1a8f.xn--80adxhks,xn--80adxhks,0.03108591,jpcert,high_entropy,False,False,True,False,4.140319531114783,32.0,0.0,safe,No unsafe content found,2026-01-11T20:11:08.139342
aexoskpskhhh.top,top,0.44339538,jpcert,dangerous_tld,True,False,False,False,3.202819531114783,16.0,0.0,safe,No unsafe content found,2026-01-11T20:11:14.564676
vcsr.cn,cn,0.06933492,jpcert,"dangerous_tld,,short",True,False,False,True,2.5216406363433186,7.0,0.0,safe,No unsafe content found,2026-01-11T20:11:20.974006
qm0fc7pv.lat,lat,0.263983,phishtank,dangerous_tld,True,False,False,False,3.584962500721156,12.0,0.0,safe,No unsafe content found,2026-01-11T20:11:27.403315
p2j.top,top,0.45411757,certificates,"dangerous_tld,,short",True,False,False,True,2.5216406363433186,7.0,0.0,safe,No unsafe content found,2026-01-11T20:11:34.514686
fnopz.cn,cn,0.20097296,jpcert,dangerous_tld,True,False,False,False,2.75,8.0,0.0,unknown,Status element not found,2026-01-11T20:11:41.571224
tepcocheckout.me,me,0.20188124,certificates,,False,False,False,False,3.1556390622295662,16.0,0.0,safe,No unsafe content found,2026-01-11T20:11:53.349452
sodexo-push.amapps.cz,cz,0.24566348,phishtank,,False,False,False,False,3.653756708287001,21.0,0.0,safe,No unsafe content found,2026-01-11T20:12:00.504327
q8u.top,top,0.43884656,certificates,"dangerous_tld,,short",True,False,False,True,2.807354922057604,7.0,0.0,safe,No unsafe content found,2026-01-11T20:12:07.614542
chepost.org.cn,cn,0.014979436,phishtank,dangerous_tld,True,False,False,False,3.378783493486176,14.0,0.0,safe,No unsafe content found,2026-01-11T20:12:14.030800
cueseuoet.xyz,xyz,0.059424866,phishtank,dangerous_tld,True,False,False,False,3.180832987205441,13.0,0.0,unknown,Status element not found,2026-01-11T20:12:20.460957
synergyminerals.in,in,0.036619823,phishtank,,False,False,False,False,3.350209029099897,18.0,0.0,safe,No unsafe content found,2026-01-11T20:12:31.864248
asdasdasdasd.life,life,0.34418878,phishtank,,False,False,False,False,2.6756981353679867,17.0,0.0,safe,No unsafe content found,2026-01-11T20:12:38.933524
metacenter.com.mx,mx,0.13009857,jpcert,,False,False,False,False,3.175123135113461,17.0,0.0,safe,No unsafe content found,2026-01-11T20:12:45.334733
mercar.cyou,cyou,0.26550472,jpcert,dangerous_tld,True,False,False,False,3.095795255000934,11.0,0.0,safe,No unsafe content found,2026-01-11T20:12:51.743557
httiotm.top,top,0.35389033,certificates,dangerous_tld,True,False,False,False,2.5503407095463886,11.0,0.0,safe,No unsafe content found,2026-01-11T20:12:58.154939
jp-pay.me,me,0.0561843,jpcert,,False,False,False,False,2.94770277922009,9.0,0.0,safe,No unsafe content found,2026-01-11T20:13:05.227149
lifecard.icu,icu,0.357984,jpcert,dangerous_tld,True,False,False,False,3.2516291673878226,12.0,0.0,safe,No unsafe content found,2026-01-11T20:13:12.016644
qa1ej7.lat,lat,0.019903077,phishtank,dangerous_tld,True,False,False,False,3.121928094887362,10.0,0.0,safe,No unsafe content found,2026-01-11T20:13:19.114767
rinall.top,top,0.45385435,jpcert,dangerous_tld,True,False,False,False,3.121928094887362,10.0,0.0,safe,No unsafe content found,2026-01-11T20:13:26.196027
sonapta.sn,sn,0.068877876,jpcert,,False,False,False,False,2.721928094887362,10.0,0.0,safe,No unsafe content found,2026-01-11T20:13:33.279170
toprocese.life,life,0.33197677,jpcert,,False,False,False,False,3.3248629576173574,14.0,0.0,safe,No unsafe content found,2026-01-11T20:13:40.372669
radar-circulation.info,info,0.38255548,phishtank,,False,False,False,False,3.5383105956150054,22.0,0.0,safe,No unsafe content found,2026-01-11T20:13:47.490731
lekoginhr.top,top,0.029434642,phishtank,dangerous_tld,True,False,False,False,3.5465935642949384,13.0,0.0,unknown,Status element not found,2026-01-11T20:13:54.596160
iprorab.pro,pro,0.009646408,phishtank,,False,False,False,False,2.663532754804255,11.0,0.0,safe,No unsafe content found,2026-01-11T20:14:06.020316
planmil.cl,cl,0.38462082,phishtank,,False,False,False,False,2.8464393446710154,10.0,0.0,safe,No unsafe content found,2026-01-11T20:14:13.132488
carenet.lk,lk,0.046178404,jpcert,,False,False,False,False,3.121928094887362,10.0,0.0,safe,No unsafe content found,2026-01-11T20:14:20.264650
zhoujcbli.shop,shop,0.25179362,phishtank,,False,False,False,False,3.521640636343319,14.0,0.0,safe,No unsafe content found,2026-01-11T20:14:26.671484
dmgver.top,top,0.10273495,phishtank,dangerous_tld,True,False,False,False,3.321928094887362,10.0,0.0,unknown,Status element not found,2026-01-11T20:14:33.101765
smbc-cardbv.icu,icu,0.13171908,phishtank,dangerous_tld,True,False,False,False,3.4565647621309536,15.0,0.0,unknown,Status element not found,2026-01-11T20:14:44.513252
wk.pl,pl,0.0007587012,phishtank,short,False,False,False,True,2.321928094887362,5.0,0.0,safe,No unsafe content found,2026-01-11T20:14:56.619583
zozo-shop.cc,cc,0.35299668,jpcert,dangerous_tld,True,False,False,False,2.8553885422075336,12.0,0.0,safe,No unsafe content found,2026-01-11T20:15:03.718633
tudosobretodos.se,se,0.0068144794,phishtank,,False,False,False,False,2.984234164652489,17.0,0.0,safe,No unsafe content found,2026-01-11T20:15:10.126252
bin.st,st,0.07283635,jpcert,short,False,False,False,True,2.584962500721156,6.0,0.0,safe,No unsafe content found,2026-01-11T20:15:17.224868
karresults-nic-in.in,in,0.009294408,phishtank,,False,False,False,False,3.546439344671016,20.0,0.0,safe,No unsafe content found,2026-01-11T20:15:24.334932
harcofed.org.in,in,0.08981276,phishtank,,False,False,False,False,3.5068905956085183,15.0,0.0,unsafe,Some pages unsafe,2026-01-11T20:15:31.496164
server-jp.icu,icu,0.010608278,phishtank,dangerous_tld,True,False,False,False,3.3927474104487847,13.0,0.0,unknown,Status element not found,2026-01-11T20:15:38.606930
panther.wiki,wiki,0.03957654,jpcert,,False,False,False,False,3.4182958340544896,12.0,0.0,safe,No unsafe content found,2026-01-11T20:15:50.749587
l.ead.me,me,0.0010411316,phishtank,,False,False,False,False,2.5,8.0,0.0,safe,No unsafe content found,2026-01-11T20:15:57.959954
TINy.Cc,Cc,0.088479675,certificates,"dangerous_tld,,short",True,False,False,True,2.807354922057604,7.0,0.0,unknown,Status element not found,2026-01-11T20:16:05.079275
ralkuten.xyz,xyz,0.21182616,jpcert,dangerous_tld,True,False,False,False,3.584962500721156,12.0,0.0,safe,No unsafe content found,2026-01-11T20:16:16.503560
dmaerket.click,click,0.035652917,phishtank,dangerous_tld,True,False,False,False,3.378783493486176,14.0,0.0,safe,No unsafe content found,2026-01-11T20:16:22.897321
0udoep.lat,lat,0.026661167,phishtank,dangerous_tld,True,False,False,False,3.321928094887362,10.0,0.0,safe,No unsafe content found,2026-01-11T20:16:29.310080
wistariatree.cn,cn,0.046816897,jpcert,dangerous_tld,True,False,False,False,3.240223928941852,15.0,0.0,unknown,Status element not found,2026-01-11T20:16:36.424097
jsft.dk,dk,0.18306921,phishtank,short,False,False,False,True,2.807354922057604,7.0,0.0,unsafe,Some pages unsafe,2026-01-11T20:16:48.847178
terrarioskarungen.cl,cl,0.068411894,jpcert,,False,False,False,False,3.621928094887362,20.0,0.0,safe,No unsafe content found,2026-01-11T20:16:55.970029
internetku.id,id,0.08524036,jpcert,,False,False,False,False,3.0850551027564768,13.0,0.0,safe,No unsafe content found,2026-01-11T20:17:03.074223
hisashi.me,me,0.022804752,jpcert,,False,False,False,False,2.721928094887362,10.0,0.0,safe,No unsafe content found,2026-01-11T20:17:09.503326
aono.shop,shop,0.007368005,certificates,,False,False,False,False,2.6416041678685933,9.0,0.0,safe,No unsafe content found,2026-01-11T20:17:15.941246
2q4npu.sbs,sbs,0.19273677,phishtank,dangerous_tld,True,False,False,False,3.1219280948873624,10.0,0.0,safe,No unsafe content found,2026-01-11T20:17:23.051289
ovrar.cn,cn,0.056452584,phishtank,dangerous_tld,True,False,False,False,2.75,8.0,0.0,safe,No unsafe content found,2026-01-11T20:17:30.162318
municipiofreire.cl,cl,0.018432153,jpcert,,False,False,False,False,3.3921472236645345,18.0,0.0,safe,No unsafe content found,2026-01-11T20:17:37.294348
sec82.com.pl,pl,0.2353132,phishtank,,False,False,False,False,3.2516291673878226,12.0,0.0,safe,No unsafe content found,2026-01-11T20:17:44.388087
item.zone,zone,0.01824695,jpcert,,False,False,False,False,2.94770277922009,9.0,0.0,safe,No unsafe content found,2026-01-11T20:17:51.483185
tjdgxy.com.cn,cn,0.1966244,jpcert,dangerous_tld,True,False,False,False,3.392747410448785,13.0,0.0,safe,No unsafe content found,2026-01-11T20:17:58.558819
audacia.cn,cn,0.3355379,certificates,dangerous_tld,True,False,False,False,2.6464393446710157,10.0,0.0,safe,No unsafe content found,2026-01-11T20:18:04.946584
nintendo.pe,pe,0.08919459,jpcert,,False,False,False,False,2.8453509366224368,11.0,0.0,safe,No unsafe content found,2026-01-11T20:18:12.090406
0755yz.com.cn,cn,0.09478231,jpcert,dangerous_tld,True,False,False,False,3.238901256602631,13.0,0.0,unknown,Status element not found,2026-01-11T20:18:18.512326
oqjbjas.xyz,xyz,0.12543605,phishtank,dangerous_tld,True,False,False,False,3.277613436819116,11.0,0.0,unknown,Status element not found,2026-01-11T20:18:30.624727
techwizz.in,in,0.06623785,certificates,,False,False,False,False,3.095795255000934,11.0,0.0,unknown,Status element not found,2026-01-11T20:18:42.777907
epoioss.sbs,sbs,0.33237824,jpcert,dangerous_tld,True,False,False,False,2.550340709546388,11.0,0.0,unknown,Status element not found,2026-01-11T20:18:55.249831
update-amazaon-co-jp.icu,icu,0.37385106,jpcert,dangerous_tld,True,False,False,False,3.720175521464345,24.0,0.0,unknown,Status element not found,2026-01-11T20:19:06.632980
goo.io,io,0.030149437,jpcert,short,False,False,False,True,1.7924812503605778,6.0,0.0,unknown,Status element not found,2026-01-11T20:19:18.008396
oscar-sun.gr,gr,0.031804264,phishtank,,False,False,False,False,3.2516291673878226,12.0,0.0,unknown,Status element not found,2026-01-11T20:19:30.452856
crm.avtovelomoto.by,by,0.026945828,phishtank,,False,False,False,False,3.4058222502856896,19.0,0.0,safe,No unsafe content found,2026-01-11T20:19:42.790849
steamcormmunrity.com,com,0.020694971,phishtank,brand,False,True,False,False,3.521928094887362,20.0,1.0,safe,No unsafe content found,2026-01-11T20:19:49.694719
sparkasse-spush.de,de,0.052506857,phishtank,brand,False,True,False,False,3.1916116417513782,18.0,1.0,safe,No unsafe content found,2026-01-11T20:19:56.002229
dvegov.cn,cn,0.17868738,phishtank,dangerous_tld,True,False,False,False,2.94770277922009,9.0,0.0,safe,No unsafe content found,2026-01-11T20:20:02.416541
avnetworkonsite.co.za,za,0.0538089,jpcert,,False,False,False,False,3.6897037321995465,21.0,0.0,safe,No unsafe content found,2026-01-11T20:20:08.837369
goldennumber.pk,pk,0.039521247,jpcert,,False,False,False,False,3.640223928941851,15.0,0.0,safe,No unsafe content found,2026-01-11T20:20:15.259489
cajaal.pe,pe,0.04443965,phishtank,,False,False,False,False,2.6416041678685933,9.0,0.0,safe,No unsafe content found,2026-01-11T20:20:22.361942
absolutepleasure.com.my,my,0.052529693,phishtank,,False,False,False,False,3.708132064658602,23.0,0.0,safe,No unsafe content found,2026-01-11T20:20:29.448005
services-online.click,click,0.2886827,jpcert,dangerous_tld,True,False,False,False,3.4273334938982645,21.0,0.0,safe,No unsafe content found,2026-01-11T20:20:36.554928
uniquederma.com.cn,cn,0.3377309,jpcert,dangerous_tld,True,False,False,False,3.503258334775645,18.0,0.0,unknown,Status element not found,2026-01-11T20:20:43.590280
sniperland.by,by,0.03121367,phishtank,,False,False,False,False,3.5465935642949384,13.0,0.0,unknown,Status element not found,2026-01-11T20:20:55.908869
almiras.kz,kz,0.1632028,phishtank,,False,False,False,False,3.121928094887362,10.0,0.0,unknown,Status element not found,2026-01-11T20:21:08.209265
cr-bcrsesegs.icu,icu,0.31780168,phishtank,dangerous_tld,True,False,False,False,3.1556390622295662,16.0,0.0,unknown,Status element not found,2026-01-11T20:21:20.513828
regulation-route.info,info,0.43991965,phishtank,,False,False,False,False,3.594465636961452,21.0,0.0,safe,No unsafe content found,2026-01-11T20:21:32.649008
jingle.bio,bio,0.016944205,phishtank,,False,False,False,False,3.121928094887362,10.0,0.0,safe,No unsafe content found,2026-01-11T20:21:39.774787
oxx.jp,jp,0.02324422,jpcert,short,False,False,False,True,2.2516291673878226,6.0,0.0,safe,No unsafe content found,2026-01-11T20:21:46.889723
nexoenlinea.x10.bz,bz,0.028530944,phishtank,,False,False,False,False,3.419381945646371,18.0,0.0,safe,No unsafe content found,2026-01-11T20:21:53.304505
vticket.eu,eu,0.012658404,phishtank,,False,False,False,False,2.9219280948873623,10.0,0.0,safe,No unsafe content found,2026-01-11T20:21:59.729883
aemvx.cn,cn,0.06086601,jpcert,dangerous_tld,True,False,False,False,3.0,8.0,0.0,unknown,Status element not found,2026-01-11T20:22:06.120619
kelpai.cn,cn,0.091343254,jpcert,dangerous_tld,True,False,False,False,3.169925001442312,9.0,0.0,safe,No unsafe content found,2026-01-11T20:22:17.528401
segurobradescodental.com.br,br,0.17360316,phishtank,brand,False,True,False,False,3.782122224145306,27.0,1.0,unsafe,Some pages unsafe,2026-01-11T20:22:24.666342
mws8t1f2.lat,lat,0.27038765,phishtank,dangerous_tld,True,False,False,False,3.418295834054489,12.0,0.0,safe,No unsafe content found,2026-01-11T20:22:31.789250
mooney.agrinov.tn,tn,0.20427935,phishtank,,False,False,False,False,3.4104172527605203,17.0,0.0,unknown,Status element not found,2026-01-11T20:22:38.204142
ghazalalvand.ir,ir,0.09619491,phishtank,,False,False,False,False,3.240223928941852,15.0,0.0,safe,No unsafe content found,2026-01-11T20:22:49.625196
ns2bradesc.online,online,0.18931074,phishtank,dangerous_tld,True,False,False,False,3.5724694587701364,17.0,0.0,unknown,Status element not found,2026-01-11T20:22:56.764553
igesz.cn,cn,0.056572687,phishtank,dangerous_tld,True,False,False,False,3.0,8.0,0.0,safe,No unsafe content found,2026-01-11T20:23:08.889606
altinii.dk,dk,0.018556379,jpcert,,False,False,False,False,2.8464393446710154,10.0,0.0,safe,No unsafe content found,2026-01-11T20:23:16.053024
4uwtejd.lat,lat,0.013570086,phishtank,dangerous_tld,True,False,False,False,3.277613436819116,11.0,0.0,safe,No unsafe content found,2026-01-11T20:23:23.065633
xiawap.com.cn,cn,0.009797518,jpcert,dangerous_tld,True,False,False,False,3.238901256602631,13.0,0.0,unsafe,Some pages unsafe,2026-01-11T20:23:29.482199
247casino.info,info,0.43323427,phishtank,,False,False,False,False,3.378783493486176,14.0,0.0,safe,No unsafe content found,2026-01-11T20:23:35.903375
2ctcat.lat,lat,0.040836196,phishtank,dangerous_tld,True,False,False,False,2.446439344671015,10.0,0.0,safe,No unsafe content found,2026-01-11T20:23:42.300596
finlex.cn,cn,0.026309805,certificates,dangerous_tld,True,False,False,False,2.94770277922009,9.0,0.0,unknown,Status element not found,2026-01-11T20:23:48.696502
s9fmpo.lat,lat,0.064295046,phishtank,dangerous_tld,True,False,False,False,3.321928094887362,10.0,0.0,safe,No unsafe content found,2026-01-11T20:24:00.794124
pug.gl,gl,0.35404065,jpcert,short,False,False,False,True,2.2516291673878226,6.0,0.0,safe,No unsafe content found,2026-01-11T20:24:07.178806
einoq.cn,cn,0.14935926,jpcert,dangerous_tld,True,False,False,False,2.75,8.0,0.0,unknown,Status element not found,2026-01-11T20:24:14.302493
elmo-danesh.ir,ir,0.01963386,jpcert,,False,False,False,False,3.6644977792004623,14.0,0.0,safe,No unsafe content found,2026-01-11T20:24:25.726570
izykdq.top,top,0.20983842,phishtank,dangerous_tld,True,False,False,False,3.321928094887362,10.0,0.0,unknown,Status element not found,2026-01-11T20:24:32.122761
videochat.jee.cx,cx,0.10652165,phishtank,,False,False,False,False,3.452819531114783,16.0,0.0,safe,No unsafe content found,2026-01-11T20:24:43.535501
rbtpoklvbvn.icu,icu,0.025533527,phishtank,dangerous_tld,True,False,False,False,3.640223928941852,15.0,0.0,unknown,Status element not found,2026-01-11T20:24:50.662781
friedchicken.cn,cn,0.08085039,certificates,dangerous_tld,True,False,False,False,3.189898095464287,15.0,0.0,safe,No unsafe content found,2026-01-11T20:25:02.792494
smbc-cardone.icu,icu,0.26520562,phishtank,dangerous_tld,True,False,False,False,3.702819531114783,16.0,0.0,unknown,Status element not found,2026-01-11T20:25:09.199322
asrefem.top,top,0.26998627,jpcert,dangerous_tld,True,False,False,False,3.277613436819116,11.0,0.0,safe,No unsafe content found,2026-01-11T20:25:20.612268
marianne-urge.click,click,0.44467956,phishtank,dangerous_tld,True,False,False,False,3.616348566075164,19.0,0.0,safe,No unsafe content found,2026-01-11T20:25:27.022103
attisguatemala.com,com,0.09755951,phishtank,brand,False,True,False,False,3.350209029099897,18.0,1.0,unknown,Status element not found,2026-01-11T20:25:34.110197
zsedsu.cn,cn,0.048977178,jpcert,dangerous_tld,True,False,False,False,2.94770277922009,9.0,0.0,safe,No unsafe content found,2026-01-11T20:25:46.232988
lvaib.cn,cn,0.19800875,phishtank,dangerous_tld,True,False,False,False,3.0,8.0,0.0,unknown,Status element not found,2026-01-11T20:25:53.371579
lexa.com.tr,tr,0.032191932,jpcert,,False,False,False,False,3.277613436819116,11.0,0.0,safe,No unsafe content found,2026-01-11T20:26:05.506791
qdbkiexyyvho.xyz,xyz,0.44128487,jpcert,dangerous_tld,True,False,False,False,3.577819531114783,16.0,0.0,unknown,Status element not found,2026-01-11T20:26:11.882207
binancell.com,com,0.09251395,certificates,brand,False,True,False,False,3.238901256602631,13.0,1.0,safe,No unsafe content found,2026-01-11T20:26:24.026833
emkismabcsmjp.top,top,0.0111431945,phishtank,dangerous_tld,True,False,False,False,3.572469458770136,17.0,0.0,safe,No unsafe content found,2026-01-11T20:26:30.456187
